#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1750194798766912256,0.0,-8.881784197001252e-16,-4.440892098500626e-16,1.0,7.281048946488932e-19,-2.9007765082596586e-18,-1.1881320882697957e-17
1750194798890418688,1.1992601087307264e-05,-5.6771666161026246e-05,-3.319452208216944e-06,0.9999999999386212,-2.3858361523551037e-06,4.068960857780892e-07,-1.0812027311083985e-05
1750194799117621760,2.227269748722449e-05,-9.678901604281975e-05,-5.516661533366829e-06,0.999999999734769,-6.102852703743127e-06,2.1098868061536443e-06,-2.2108043620488527e-05
1750194799240799488,2.6470302813663693e-05,-0.0001439554054369907,-1.379720064509371e-05,0.9999999995428948,-1.262446752292526e-05,6.2882224681175216e-06,-2.6744938328137734e-05
1750194799468805376,3.818876889116751e-05,-0.00018520973061164625,-1.7315116664917696e-05,0.9999999987633634,-1.3708703964537023e-05,8.673204839951153e-06,-4.701191304872061e-05
1750194799591987968,4.583108743982933e-05,-0.00022250942781809613,-2.2778454621619204e-05,0.999999998018843,-1.1501913957981498e-05,1.5973359620703016e-05,-5.9790232370677105e-05
1750194799818702592,5.725664013844778e-05,-0.0002678793973327487,-2.8614123962267257e-05,0.9999999962851663,-1.4331101143738608e-05,2.206751120725315e-05,-8.20811320060799e-05
1750194799940247808,7.175819523030924e-05,-0.0003258894969668802,-2.9977985928297812e-05,0.9999999950814139,-1.968337623789966e-05,2.029320650300727e-05,-9.506799048236242e-05
1750194800166381312,7.973250116855013e-05,-0.0003790411289097406,-3.198278242244612e-05,0.9999999941117069,-1.9961447255713372e-05,1.932371490459122e-05,-0.00010490338812447355
1750194800286584064,8.718205004765167e-05,-0.00042773477433755147,-3.671155476192567e-05,0.9999999935792129,-2.4745752067352782e-05,2.384319965203041e-05,-0.00010798483175398253
1750194800517474304,9.916816368882309e-05,-0.0004710038478297207,-3.658759761338004e-05,0.9999999914565623,-3.084813265226267e-05,2.1147765576047397e-05,-0.0001252519065250501
1750194800640202240,0.00010900623393972353,-0.0005250249519166417,-3.897624828663737e-05,0.9999999905310071,-2.828552901579243e-05,1.972520518237821e-05,-0.0001332247362985497
1750194800872670208,0.00011824833257367828,-0.0005715058300266307,-3.986555704971195e-05,0.9999999887550812,-3.1999202101384886e-05,1.7381968589325385e-05,-0.00014547768137535442
1750194800994443776,0.00012582514272807543,-0.000616773066220766,-4.581418221727418e-05,0.9999999866562194,-3.128985746851413e-05,2.0427535690086788e-05,-0.0001590321408377801
1750194801221918976,0.00013282666419023315,-0.0006698431012113204,-5.183854353640882e-05,0.9999999859114653,-4.29232073217975e-05,2.4770306736122913e-05,-0.00016037798850517416
1750194801343076608,0.00014359990937240497,-0.0007236614423389298,-5.369989275383347e-05,0.9999999839915845,-4.2548597530648e-05,2.3555253104233204e-05,-0.00017219639229555675
1750194801570875392,0.00015036558854841786,-0.0007787289012028964,-6.004712535245815e-05,0.9999999828926168,-4.51771897857316e-05,2.9104375064107767e-05,-0.0001769935676062951
1750194801690702592,0.00016122458496159453,-0.0008246299371856836,-6.165537307767366e-05,0.9999999815769338,-4.983707897601549e-05,2.4915410053411464e-05,-0.0001836889223360334
1750194801917871360,0.00016895182736575975,-0.0008629770779355894,-6.492614050612744e-05,0.9999999803401811,-5.093921417648683e-05,2.51385253109e-05,-0.00018998128361136083
1750194802039821568,0.0001771196842597078,-0.0009071875758754899,-6.640030700877375e-05,0.9999999796137994,-5.6949762453805224e-05,2.4356058238288834e-05,-0.00019218716884723494
