#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1750194798718840832,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798723836928,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798728811264,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798733809152,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798738807040,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798743805952,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798748805632,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798753802240,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798758791680,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798763788800,-0.0002582590768800652,-0.00021375029203240606,-0.00021980655183665305,-0.13897958600438,0.3438211337419459,3.198059010745772
1750194798768834816,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798773803520,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798778799872,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798783802112,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798788808960,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798793814272,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798798805760,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798803806720,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798808805376,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798813811968,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798818810368,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798823804672,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798828807680,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798833803520,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798838804992,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798843806208,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798848807936,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798853818368,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798858809856,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798863806976,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798868804352,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798873811456,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798878806528,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798883804928,-0.00019921908409215814,-0.0001597556684953698,-0.00031144701600539304,-0.1371331866450275,0.34136655122366616,3.199142750467088
1750194798890217984,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798893828608,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798898811136,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798903798272,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798908926208,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798913826304,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798918833920,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798923804928,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798928808960,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798933809664,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798938824960,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798943804160,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798948795392,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798953797888,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798958800128,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798963803136,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798968802048,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798973819136,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798978804480,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798983792128,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798988792832,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798993799680,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194798998789376,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799003802624,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799008808960,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799024659456,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799025176832,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799025303552,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799028837632,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799033789952,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799038789120,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799043787520,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799048788736,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799053788928,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799058787328,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799063787008,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799068786688,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799073788416,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799078787328,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799083787520,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799088796160,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799093798400,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799098800640,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799103772160,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799108819712,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799113839872,-8.565246676953702e-05,-0.0001458394888267709,-0.0004096432679513207,-0.13632701547784346,0.3400377944957218,3.200577712573095
1750194799118824960,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799123814400,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799128824064,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799133838848,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799138840064,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799143836672,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799148836352,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799153842688,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799158836480,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799163836928,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799168835840,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799173853440,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799178836224,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799183824384,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799188812544,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799193841920,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799198836224,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799203824896,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
1750194799208813824,-0.00013136320791474945,-0.0002074581549641828,-0.0004130529122096851,-0.13842234180102966,0.3484252325966138,3.2000494091703624
